Country name,Regional indicator,year,Ladder score,worked hour
Australia,North America and ANZ,2015,7.284,1670
Australia,North America and ANZ,2016,7.313,1660
Australia,North America and ANZ,2017,7.28399992,1662
Australia,North America and ANZ,2018,7.272,1654
Australia,North America and ANZ,2019,7.228,1651
Australia,North America and ANZ,2020,7.222799778,1613
Australia,North America and ANZ,2021,7.183499813,1622
Australia,North America and ANZ,2022,7.162099838,1628
Australia,North America and ANZ,2023,7.094600201,1651
Austria,Western Europe,2015,7.2,1495
Austria,Western Europe,2016,7.119,1507
Austria,Western Europe,2017,7.006000042,1498
Austria,Western Europe,2018,7.139,1502
Austria,Western Europe,2019,7.246,1510
Austria,Western Europe,2020,7.294199944,1400
Austria,Western Europe,2021,7.267799854,1437
Austria,Western Europe,2022,7.163000107,1435
Austria,Western Europe,2023,7.097300053,1435
Belgium,Western Europe,2015,6.937,1575
Belgium,Western Europe,2016,6.929,1574
Belgium,Western Europe,2017,6.890999794,1578
Belgium,Western Europe,2018,6.927,1580
Belgium,Western Europe,2019,6.923,1577
Belgium,Western Europe,2020,6.863500118,1446
Belgium,Western Europe,2021,6.834000111,1530
Belgium,Western Europe,2022,6.804999828,1535
Canada,North America and ANZ,2015,7.427,1710
Canada,North America and ANZ,2016,7.404,1701
Canada,North America and ANZ,2017,7.315999985,1689
Canada,North America and ANZ,2018,7.328,1702
Canada,North America and ANZ,2019,7.278,1691
Canada,North America and ANZ,2020,7.23210001,1653
Canada,North America and ANZ,2021,7.103300095,1685
Canada,North America and ANZ,2022,7.025100231,1686
Canada,North America and ANZ,2023,6.960700035,1685
Chile,Latin America and Caribbean,2015,6.67,1999
Chile,Latin America and Caribbean,2016,6.705,1983
Chile,Latin America and Caribbean,2017,6.65199995,1968
Chile,Latin America and Caribbean,2018,6.476,1961
Chile,Latin America and Caribbean,2019,6.444,1940
Chile,Latin America and Caribbean,2020,6.228499889,1828
Chile,Latin America and Caribbean,2021,6.171899796,1921
Chile,Latin America and Caribbean,2022,6.171800137,1966
Chile,Latin America and Caribbean,2023,6.333799839,1953
Colombia,Latin America and Caribbean,2015,6.477,2396
Colombia,Latin America and Caribbean,2016,6.481,2392
Colombia,Latin America and Caribbean,2017,6.356999874,2376
Colombia,Latin America and Caribbean,2018,6.26,2386
Colombia,Latin America and Caribbean,2019,6.125,2383
Colombia,Latin America and Caribbean,2020,6.163400173,2069
Colombia,Latin America and Caribbean,2021,6.01240015,2307
Colombia,Latin America and Caribbean,2022,5.780600071,2297
Costa Rica,Latin America and Caribbean,2015,7.226,2148.2
Costa Rica,Latin America and Caribbean,2016,7.087,2204.7
Costa Rica,Latin America and Caribbean,2017,7.078999996,2178.9
Costa Rica,Latin America and Caribbean,2018,7.072,2121
Costa Rica,Latin America and Caribbean,2019,7.167,2059.6
Costa Rica,Latin America and Caribbean,2020,7.121399879,1913.2
Costa Rica,Latin America and Caribbean,2021,7.069399834,2073.3
Costa Rica,Latin America and Caribbean,2022,6.581999779,2149
Costa Rica,Latin America and Caribbean,2023,6.608500004,2170.5
Czechia,Central and Eastern Europe,2015,6.505,1751
Czechia,Central and Eastern Europe,2016,6.596,1774
Czechia,Central and Eastern Europe,2017,6.609000206,1776
Czechia,Central and Eastern Europe,2018,6.711,1785
Czechia,Central and Eastern Europe,2019,6.852,1786
Czechia,Central and Eastern Europe,2020,6.910900116,1677
Czechia,Central and Eastern Europe,2021,6.964700222,1722
Czechia,Central and Eastern Europe,2022,6.919799805,1774
Czechia,Central and Eastern Europe,2023,6.845200062,1766
Denmark,Western Europe,2015,7.527,1407
Denmark,Western Europe,2016,7.526,1412
Denmark,Western Europe,2016,7.526,1412
Denmark,Western Europe,2017,7.521999836,1404
Denmark,Western Europe,2018,7.555,1381
Denmark,Western Europe,2019,7.6,1371
Denmark,Western Europe,2020,7.645599842,1341
Denmark,Western Europe,2020,7.645599842,1341
Denmark,Western Europe,2021,7.61950016,1390
Denmark,Western Europe,2022,7.636199951,1394
Denmark,Western Europe,2023,7.586400032,1380
Denmark,Western Europe,2023,7.586400032,1380
Estonia,Central and Eastern Europe,2015,5.429,1763
Estonia,Central and Eastern Europe,2016,5.517,1767
Estonia,Central and Eastern Europe,2017,5.611000061,1768
Estonia,Central and Eastern Europe,2018,5.739,1707
Estonia,Central and Eastern Europe,2019,5.893,1694
Estonia,Central and Eastern Europe,2020,6.021800041,1637
Estonia,Central and Eastern Europe,2021,6.188799858,1767
Estonia,Central and Eastern Europe,2022,6.340799809,1770
Estonia,Central and Eastern Europe,2023,6.455200195,1742
Finland,Western Europe,2015,7.406,1556
Finland,Western Europe,2016,7.413,1555
Finland,Western Europe,2017,7.468999863,1549
Finland,Western Europe,2018,7.632,1547
Finland,Western Europe,2019,7.769,1537
Finland,Western Europe,2020,7.808700085,1530
Finland,Western Europe,2021,7.842100143,1528
Finland,Western Europe,2022,7.821000099,1514
Finland,Western Europe,2023,7.804200172,1499
France,Western Europe,2015,6.575,1519
France,Western Europe,2016,6.478,1522
France,Western Europe,2017,6.441999912,1508
France,Western Europe,2018,6.489,1514
France,Western Europe,2019,6.592,1518
France,Western Europe,2020,6.663799763,1400
France,Western Europe,2021,6.689899921,1475
France,Western Europe,2022,6.686699867,1501
France,Western Europe,2023,6.661300182,1500
Germany,Western Europe,2015,6.75,1401
Germany,Western Europe,2016,6.994,1395.6
Germany,Western Europe,2016,6.994,1395.6
Germany,Western Europe,2017,6.951000214,1389.1
Germany,Western Europe,2018,6.965,1380.7
Germany,Western Europe,2019,6.985,1373.1
Germany,Western Europe,2020,7.075799942,1315.9
Germany,Western Europe,2021,7.154500008,1347.6
Germany,Western Europe,2022,7.034100056,1346.8
Germany,Western Europe,2023,6.891799927,1342.6
Germany,Western Europe,2023,6.891799927,1342.6
Greece,Western Europe,2015,4.857,1935
Greece,Western Europe,2016,5.033,1943
Greece,Western Europe,2017,5.227000237,1947
Greece,Western Europe,2018,5.358,1961
Greece,Western Europe,2019,5.287,1918
Greece,Western Europe,2020,5.514999866,1732
Greece,Western Europe,2021,5.722599983,1854
Greece,Western Europe,2022,5.948200226,1886
Greece,Western Europe,2023,5.930900097,1897
Hungary,Central and Eastern Europe,2015,4.8,1743
Hungary,Central and Eastern Europe,2016,5.145,1755
Hungary,Central and Eastern Europe,2017,5.323999882,1751
Hungary,Central and Eastern Europe,2018,5.62,1737
Hungary,Central and Eastern Europe,2019,5.758,1729
Hungary,Central and Eastern Europe,2020,6.000400066,1653
Hungary,Central and Eastern Europe,2021,5.991600037,1682
Hungary,Central and Eastern Europe,2022,6.08589983,1691
Hungary,Central and Eastern Europe,2023,6.041200161,1679
Iceland,Western Europe,2015,7.561,1511
Iceland,Western Europe,2016,7.501,1520
Iceland,Western Europe,2017,7.504000187,1507
Iceland,Western Europe,2018,7.495,1496
Iceland,Western Europe,2019,7.494,1480
Iceland,Western Europe,2020,7.504499912,1464
Iceland,Western Europe,2021,7.553899765,1459
Iceland,Western Europe,2022,7.557499886,1459
Iceland,Western Europe,2023,7.529600143,1448
Ireland,Western Europe,2015,6.94,1682
Ireland,Western Europe,2016,6.907,1704
Ireland,Western Europe,2017,6.977000237,1727
Ireland,Western Europe,2018,6.977,1742
Ireland,Western Europe,2019,7.021,1742
Ireland,Western Europe,2020,7.093699932,1620
Ireland,Western Europe,2021,7.085299969,1627
Ireland,Western Europe,2022,7.040800095,1657
Ireland,Western Europe,2023,6.91079998,1633
Israel,Middle East and North Africa,2015,7.278,1894
Israel,Middle East and North Africa,2016,7.267,1919
Israel,Middle East and North Africa,2017,7.212999821,1918
Israel,Middle East and North Africa,2018,6.814,1911
Israel,Middle East and North Africa,2019,7.139,1895
Israel,Middle East and North Africa,2020,7.128600121,1778
Israel,Middle East and North Africa,2021,7.157100201,1877
Israel,Middle East and North Africa,2022,7.363800049,1891
Israel,Middle East and North Africa,2023,7.472899914,1880
Italy,Western Europe,2015,5.948,1717
Italy,Western Europe,2016,5.977,1722
Italy,Western Europe,2017,5.964000225,1719
Italy,Western Europe,2018,6,1719
Italy,Western Europe,2019,6.223,1710
Italy,Western Europe,2020,6.38740015,1543
Italy,Western Europe,2021,6.483099937,1686
Italy,Western Europe,2022,6.466700077,1726
Italy,Western Europe,2023,6.404500008,1734
Japan,East Asia,2015,5.987,1719
Japan,East Asia,2016,5.921,1714
Japan,East Asia,2017,5.920000076,1709
Japan,East Asia,2018,5.915,1680
Japan,East Asia,2019,5.886,1644
Japan,East Asia,2020,5.870800018,1597
Japan,East Asia,2021,5.940499783,1607
Japan,East Asia,2022,6.038899899,1607
Japan,East Asia,2023,6.129000187,1611
Korea,East Asia,2015,5.984,2083
Korea,East Asia,2016,5.835,2068
Korea,East Asia,2017,5.837999821,2018
Korea,East Asia,2018,5.875,1993
Korea,East Asia,2019,5.895,1967
Korea,East Asia,2020,5.872399807,1908
Korea,East Asia,2021,5.845499992,1910
Korea,East Asia,2022,5.935100079,1901
Korea,East Asia,2023,5.951099873,1872
Latvia,Central and Eastern Europe,2015,5.098,1663
Latvia,Central and Eastern Europe,2016,5.56,1664
Latvia,Central and Eastern Europe,2017,5.849999905,1650
Latvia,Central and Eastern Europe,2018,5.933,1661
Latvia,Central and Eastern Europe,2019,5.94,1631
Latvia,Central and Eastern Europe,2020,5.949999809,1577
Latvia,Central and Eastern Europe,2021,6.032000065,1601
Latvia,Central and Eastern Europe,2022,6.180399895,1553
Latvia,Central and Eastern Europe,2023,6.21269989,1548
Lithuania,Central and Eastern Europe,2015,5.833,1673
Lithuania,Central and Eastern Europe,2016,5.813,1694
Lithuania,Central and Eastern Europe,2017,5.90199995,1657
Lithuania,Central and Eastern Europe,2018,5.952,1664
Lithuania,Central and Eastern Europe,2019,6.149,1665
Lithuania,Central and Eastern Europe,2020,6.215499878,1595
Lithuania,Central and Eastern Europe,2021,6.255400181,1620
Lithuania,Central and Eastern Europe,2022,6.445600033,1624
Lithuania,Central and Eastern Europe,2023,6.763000011,1641
Luxembourg,Western Europe,2015,6.946,1519
Luxembourg,Western Europe,2016,6.871,1518
Luxembourg,Western Europe,2017,6.862999916,1508
Luxembourg,Western Europe,2018,6.91,1499
Luxembourg,Western Europe,2019,7.09,1493
Luxembourg,Western Europe,2020,7.237500191,1408
Luxembourg,Western Europe,2021,7.324399948,1467
Luxembourg,Western Europe,2022,7.403999805,1459
Luxembourg,Western Europe,2023,7.227900028,1462
Mexico,Latin America and Caribbean,2015,7.187,2234
Mexico,Latin America and Caribbean,2016,6.778,2238
Mexico,Latin America and Caribbean,2017,6.578000069,2238
Mexico,Latin America and Caribbean,2018,6.488,2238
Mexico,Latin America and Caribbean,2019,6.595,2228
Mexico,Latin America and Caribbean,2020,6.465000153,2207
Mexico,Latin America and Caribbean,2021,6.316800117,2216
Mexico,Latin America and Caribbean,2022,6.127600193,2226
Mexico,Latin America and Caribbean,2023,6.329500198,2207
Netherlands,Western Europe,2015,7.378,1437
Netherlands,Western Europe,2016,7.339,1446
Netherlands,Western Europe,2017,7.376999855,1450
Netherlands,Western Europe,2018,7.441,1449
Netherlands,Western Europe,2019,7.488,1451
Netherlands,Western Europe,2020,7.448900223,1404
Netherlands,Western Europe,2021,7.464000225,1412
Netherlands,Western Europe,2022,7.414899826,1415
Netherlands,Western Europe,2023,7.402999878,1413
Netherlands,Western Europe,2023,7.402999878,1413
New Zealand,North America and ANZ,2015,7.286,1753
New Zealand,North America and ANZ,2016,7.334,1754
New Zealand,North America and ANZ,2017,7.31400013,1756
New Zealand,North America and ANZ,2018,7.324,1759
New Zealand,North America and ANZ,2019,7.307,1783
New Zealand,North America and ANZ,2020,7.299600124,1739
New Zealand,North America and ANZ,2021,7.276599884,1730
New Zealand,North America and ANZ,2022,7.199800014,1748
New Zealand,North America and ANZ,2023,7.122900009,1751
Norway,Western Europe,2015,7.522,1427
Norway,Western Europe,2016,7.498,1430
Norway,Western Europe,2017,7.537000179,1419
Norway,Western Europe,2018,7.594,1419
Norway,Western Europe,2019,7.554,1419
Norway,Western Europe,2020,7.487999916,1410
Norway,Western Europe,2021,7.392499924,1426
Norway,Western Europe,2022,7.365099907,1425
Norway,Western Europe,2023,7.315499783,1418
Poland,Central and Eastern Europe,2015,5.791,1829
Poland,Central and Eastern Europe,2016,5.835,1831
Poland,Central and Eastern Europe,2017,5.97300005,1812
Poland,Central and Eastern Europe,2018,6.123,1787
Poland,Central and Eastern Europe,2019,6.182,1783
Poland,Central and Eastern Europe,2020,6.186299801,1769
Poland,Central and Eastern Europe,2021,6.166100025,1828
Poland,Central and Eastern Europe,2022,6.122799873,1815
Poland,Central and Eastern Europe,2023,6.259699821,1803
Portugal,Western Europe,2015,5.102,1732
Portugal,Western Europe,2016,5.123,1737
Portugal,Western Europe,2017,5.195000172,1727
Portugal,Western Europe,2018,5.41,1738
Portugal,Western Europe,2019,5.693,1744
Portugal,Western Europe,2020,5.910900116,1611
Portugal,Western Europe,2021,5.928999901,1649
Portugal,Western Europe,2022,6.016300201,1635
Portugal,Western Europe,2023,5.967999935,1631
Slovak Rep.,Central and Eastern Europe,2015,5.995,1754
Slovak Rep.,Central and Eastern Europe,2016,6.078,1740
Slovak Rep.,Central and Eastern Europe,2017,6.09800005,1714
Slovak Rep.,Central and Eastern Europe,2018,6.173,1704
Slovak Rep.,Central and Eastern Europe,2019,6.198,1692
Slovak Rep.,Central and Eastern Europe,2020,6.280600071,1572
Slovak Rep.,Central and Eastern Europe,2021,6.330900192,1583
Slovak Rep.,Central and Eastern Europe,2022,6.390699863,1622
Slovak Rep.,Central and Eastern Europe,2023,6.468599796,1631
Slovenia,Central and Eastern Europe,2015,5.848,1687
Slovenia,Central and Eastern Europe,2016,5.768,1652
Slovenia,Central and Eastern Europe,2017,5.757999897,1622
Slovenia,Central and Eastern Europe,2018,5.948,1603
Slovenia,Central and Eastern Europe,2019,6.118,1601
Slovenia,Central and Eastern Europe,2020,6.363399982,1532
Slovenia,Central and Eastern Europe,2021,6.460700035,1593
Slovenia,Central and Eastern Europe,2022,6.630099773,1610
Slovenia,Central and Eastern Europe,2023,6.64989996,1616
Spain,Western Europe,2015,6.329,1694.2
Spain,Western Europe,2016,6.361,1701.5
Spain,Western Europe,2017,6.402999878,1692.4
Spain,Western Europe,2018,6.31,1697.6
Spain,Western Europe,2019,6.354,1677.5
Spain,Western Europe,2020,6.400899887,1557.8
Spain,Western Europe,2021,6.490699768,1633
Spain,Western Europe,2022,6.476299763,1652.2
Spain,Western Europe,2023,6.436200142,1632.3
Sweden,Western Europe,2015,7.364,1465
Sweden,Western Europe,2016,7.291,1478
Sweden,Western Europe,2017,7.28399992,1466
Sweden,Western Europe,2018,7.314,1465
Sweden,Western Europe,2019,7.343,1453
Sweden,Western Europe,2020,7.353499889,1426
Sweden,Western Europe,2021,7.362699986,1447
Sweden,Western Europe,2022,7.384300232,1440
Sweden,Western Europe,2023,7.395199776,1437
Switzerland,Western Europe,2015,7.587,1577
Switzerland,Western Europe,2016,7.509,1577
Switzerland,Western Europe,2017,7.493999958,1559
Switzerland,Western Europe,2018,7.487,1551
Switzerland,Western Europe,2019,7.48,1549
Switzerland,Western Europe,2020,7.559899807,1498.8
Switzerland,Western Europe,2021,7.571499825,1531.2
Switzerland,Western Europe,2022,7.511600018,1528.7
Turkiye,Middle East and North Africa,2020,5.131800175,1572
Turkiye,Middle East and North Africa,2021,4.947599888,1732
United Kingdom,Western Europe,2015,6.867,1525
United Kingdom,Western Europe,2016,6.725,1541
United Kingdom,Western Europe,2017,6.714000225,1536
United Kingdom,Western Europe,2018,7.19,1536
United Kingdom,Western Europe,2019,7.054,1537
United Kingdom,Western Europe,2020,7.164500237,1364
United Kingdom,Western Europe,2020,7.164500237,1364
United Kingdom,Western Europe,2021,7.063600063,1498
United Kingdom,Western Europe,2022,6.942500114,1531
United Kingdom,Western Europe,2023,6.795599937,1524
United States,North America and ANZ,2015,7.119,1830
United States,North America and ANZ,2016,7.104,1822
United States,North America and ANZ,2017,6.993000031,1820
United States,North America and ANZ,2018,6.886,1826
United States,North America and ANZ,2019,6.892,1817
United States,North America and ANZ,2020,6.939599991,1789
United States,North America and ANZ,2021,6.951499939,1813
United States,North America and ANZ,2022,6.976799965,1804
United States,North America and ANZ,2023,6.893700123,1799
