Country name,Regional indicator,year,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,worked hour
Australia,North America and ANZ,2020,7.222799778,7.30480814,7.140791416,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,1613
Australia,North America and ANZ,2021,7.183499813,7.264683723,7.102315903,1.453484535,1.075880408,0.800667107,0.647235394,0.291388631,0.31698212,2.597856522,1622
Australia,North America and ANZ,2022,7.162099838,7.243522167,7.080677509,1.899888515,1.20338428,0.772303641,0.676495969,0.257609159,0.341045797,2.011331558,1628
Australia,North America and ANZ,2023,7.094600201,7.17995739,7.009243011,1.898795009,1.496743441,0.531847596,0.676751196,0.242432088,0.310268074,1.93774271,1651
Austria,Western Europe,2020,7.294199944,7.359595776,7.228804111,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,1400
Austria,Western Europe,2021,7.267799854,7.337424278,7.19817543,1.492163777,1.062422514,0.781758428,0.639984071,0.215089977,0.292055875,2.784284592,1437
Austria,Western Europe,2022,7.163000107,7.236604691,7.089395523,1.931322575,1.165256619,0.773750186,0.622788727,0.193279475,0.329127043,2.147515297,1435
Austria,Western Europe,2023,7.097300053,7.176486015,7.01811409,1.926718116,1.381974697,0.534575164,0.62956059,0.190946832,0.309653074,2.123896122,1435
Canada,North America and ANZ,2020,7.23210001,7.311294556,7.152905464,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,1653
Canada,North America and ANZ,2021,7.103300095,7.185441494,7.021158695,1.446679115,1.044359565,0.797508538,0.648485303,0.24622412,0.334586829,2.585432053,1685
Canada,North America and ANZ,2022,7.025100231,7.107068539,6.943131924,1.886453271,1.187762737,0.783143342,0.658886194,0.216965392,0.368206233,1.923638821,1686
Canada,North America and ANZ,2023,6.960700035,7.042358875,6.879041195,1.881438851,1.483918548,0.541386604,0.655816972,0.218279645,0.364492595,1.815376759,1685
Chile,Latin America and Caribbean,2020,6.228499889,6.318118572,6.138881207,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,1828
Chile,Latin America and Caribbean,2021,6.171899796,6.26232338,6.081476212,1.20035553,0.94553268,0.67783463,0.437762111,0.159079567,0.069504216,2.681791544,1921
Chile,Latin America and Caribbean,2022,6.171800137,6.261715412,6.081884861,1.651358128,1.0797472,0.748458505,0.460021943,0.123672418,0.06859377,2.039988995,1966
Chile,Latin America and Caribbean,2023,6.333799839,6.424258232,6.243341446,1.64520371,1.383730769,0.511409521,0.546423137,0.130513608,0.076167539,2.04032135,1953
Costa Rica,Latin America and Caribbean,2020,7.121399879,7.209239483,7.033560276,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,1913.2
Costa Rica,Latin America and Caribbean,2021,7.069399834,7.178761959,6.960037708,1.133569956,0.965847313,0.721924484,0.672523916,0.105472691,0.083280601,3.386783838,2073.3
Costa Rica,Latin America and Caribbean,2022,6.581999779,6.683391094,6.480608463,1.584273696,1.054443598,0.744211972,0.661385298,0.088974014,0.102405295,2.346286774,2149
Costa Rica,Latin America and Caribbean,2023,6.608500004,6.709646702,6.507353306,1.586957693,1.339542747,0.503240168,0.68316716,0.098977625,0.115519121,2.281061172,2170.5
Czechia,Central and Eastern Europe,2020,6.910900116,6.994966984,6.826833248,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243,1677
Czechia,Central and Eastern Europe,2021,6.964700222,7.061641693,6.867758751,1.369824648,1.090193272,0.703239262,0.580020785,0.052063614,0.045637153,3.123739243,1722
Czechia,Central and Eastern Europe,2022,6.919799805,7.02867651,6.8109231,1.815015554,1.260081053,0.715006053,0.660386026,0.158460036,0.048207007,2.262639523,1774
Czechia,Central and Eastern Europe,2023,6.845200062,6.931081772,6.759318352,1.823468804,1.543999076,0.477348864,0.693139493,0.157766014,0.050239149,2.099239349,1766
Denmark,Western Europe,2020,7.645599842,7.711244583,7.579955101,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,1341
Denmark,Western Europe,2021,7.61950016,7.687427998,7.551572323,1.501548052,1.108007669,0.762862444,0.686160326,0.207614571,0.484992683,2.868296146,1390
Denmark,Western Europe,2022,7.636199951,7.709897041,7.562502861,1.952594876,1.242681265,0.776643515,0.718918443,0.187625706,0.532078922,2.225631714,1394
Denmark,Western Europe,2023,7.586400032,7.666814804,7.50598526,1.949405551,1.547874808,0.537302494,0.734415889,0.208458513,0.525221169,2.083765507,1380
Estonia,Central and Eastern Europe,2020,6.021800041,6.092330933,5.95126915,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,1637
Estonia,Central and Eastern Europe,2021,6.188799858,6.262831688,6.114768028,1.34363389,1.078817606,0.640037239,0.641227961,0.118699208,0.263185412,2.103230476,1767
Estonia,Central and Eastern Europe,2022,6.340799809,6.415389061,6.266210556,1.793485761,1.232318163,0.727511942,0.689309835,0.122931898,0.332884669,1.442342281,1770
Estonia,Central and Eastern Europe,2023,6.455200195,6.533717155,6.376683235,1.798477411,1.526437998,0.493708491,0.728105485,0.153474286,0.372188479,1.382809639,1742
Finland,Western Europe,2020,7.808700085,7.869766235,7.747633934,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,1530
Finland,Western Europe,2021,7.842100143,7.90412569,7.780074596,1.446356297,1.106191516,0.740823805,0.690576613,0.124200456,0.480523974,3.253414631,1528
Finland,Western Europe,2022,7.821000099,7.886425495,7.755574703,1.891628027,1.258108377,0.775206447,0.735590219,0.108733051,0.533658087,2.518051624,1514
Finland,Western Europe,2023,7.804200172,7.875078201,7.733322144,1.888380408,1.584899664,0.534573674,0.771509945,0.126331195,0.535298586,2.363241196,1499
France,Western Europe,2020,6.663799763,6.737450123,6.590149403,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,1400
France,Western Europe,2021,6.689899921,6.761763573,6.61803627,1.421442866,1.08083272,0.803807199,0.535543203,0.092393093,0.235062331,2.520777702,1475
France,Western Europe,2022,6.686699867,6.758274555,6.615125179,1.862690568,1.218600631,0.80764544,0.567194045,0.069899082,0.26563248,1.894989967,1501
France,Western Europe,2023,6.661300182,6.735007286,6.587593079,1.855644822,1.433424592,0.565909088,0.58164525,0.082621008,0.269653738,1.87244606,1500
Germany,Western Europe,2020,7.075799942,7.145595074,7.00600481,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,1315.9
Germany,Western Europe,2021,7.154500008,7.232217789,7.076782227,1.480365992,0.992562175,0.756574392,0.600411832,0.194914445,0.30559656,2.824025631,1347.6
Germany,Western Europe,2022,7.034100056,7.121578693,6.946621418,1.92373848,1.087536454,0.775900781,0.585103571,0.162550911,0.357605606,2.141649723,1346.8
Germany,Western Europe,2023,6.891799927,6.988792896,6.794806957,1.919438958,1.400967836,0.538656354,0.617736042,0.152547911,0.36495623,1.897525311,1342.6
Greece,Western Europe,2020,5.514999866,5.606986046,5.423013687,1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352,2.016179085,1732
Greece,Western Europe,2021,5.722599983,5.812847137,5.632352829,1.272925258,0.811430395,0.759725511,0.243387148,0,0.074100554,2.560984373,1854
Greece,Western Europe,2022,5.948200226,6.043491364,5.852909088,1.703061461,0.9803828,0.773688793,0.249164745,0.014922903,0.10833656,2.118599176,1886
Greece,Western Europe,2023,5.930900097,6.024279118,5.837521076,1.707674265,1.246871829,0.534567475,0.247887805,0.007891758,0.097317494,2.0886724,1897
Hungary,Central and Eastern Europe,2020,6.000400066,6.077767372,5.923032761,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,1653
Hungary,Central and Eastern Europe,2021,5.991600037,6.084691048,5.898509026,1.300679445,1.083366513,0.614849329,0.454094589,0.066522121,0.040280405,2.431815624,1682
Hungary,Central and Eastern Europe,2022,6.08589983,6.187128544,5.984671116,1.747837782,1.232585669,0.667657375,0.484644353,0.077690437,0.063883975,1.811637402,1691
Hungary,Central and Eastern Europe,2023,6.041200161,6.149276733,5.933123589,1.754487276,1.518888831,0.435135782,0.500585794,0.10468287,0.064628392,1.662788391,1679
Iceland,Western Europe,2020,7.504499912,7.621346951,7.387652874,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,1464
Iceland,Western Europe,2021,7.553899765,7.670271397,7.437528133,1.482189894,1.172279239,0.772318721,0.697701156,0.292526424,0.16993995,2.966944695,1459
Iceland,Western Europe,2022,7.557499886,7.65107584,7.463923931,1.935726404,1.319913507,0.802621603,0.718194485,0.269616127,0.191204235,2.320184708,1459
Iceland,Western Europe,2023,7.529600143,7.624878883,7.434321404,1.925507665,1.619666457,0.559096396,0.73816371,0.249635488,0.187118784,2.250382423,1448
Ireland,Western Europe,2020,7.093699932,7.171832085,7.01556778,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,1620
Ireland,Western Europe,2021,7.085299969,7.164330482,7.006269455,1.644479394,1.091831088,0.753421366,0.605506539,0.23832652,0.367448837,2.384304523,1627
Ireland,Western Europe,2022,7.040800095,7.120751858,6.960848331,2.129032373,1.165607095,0.778804839,0.626753926,0.189684033,0.40767923,1.743192196,1657
Ireland,Western Europe,2023,6.91079998,6.996126652,6.825473309,2.152112246,1.424746752,0.538659692,0.655701101,0.185610905,0.409086794,1.544905186,1633
Israel,Middle East and North Africa,2020,7.128600121,7.211929798,7.045270443,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,1778
Israel,Middle East and North Africa,2021,7.157100201,7.223914623,7.090285778,1.376326799,1.073812723,0.788168788,0.508975208,0.207988352,0.118764959,3.083014011,1877
Israel,Middle East and North Africa,2022,7.363800049,7.426287651,7.301312447,1.825929523,1.220995784,0.817636967,0.567640424,0.154837638,0.142614156,2.634107113,1891
Israel,Middle East and North Africa,2023,7.472899914,7.534853458,7.410946369,1.833397985,1.520673871,0.576730013,0.568518281,0.124047711,0.158292055,2.691289902,1880
Italy,Western Europe,2020,6.38740015,6.47224474,6.302555561,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,1543
Italy,Western Europe,2021,6.483099937,6.571656704,6.394543171,1.39314568,0.94027859,0.797516227,0.378634989,0.1330273,0.04693836,2.793569803,1686
Italy,Western Europe,2022,6.466700077,6.570244312,6.363155842,1.834216833,1.051730514,0.801163852,0.412496358,0.085347131,0.059258498,2.222449303,1726
Italy,Western Europe,2023,6.404500008,6.510976315,6.298023701,1.831728816,1.364630103,0.559095979,0.437638372,0.096972063,0.062555566,2.051904678,1734
Japan,East Asia,2020,5.870800018,5.951927662,5.789672375,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,1597
Japan,East Asia,2021,5.940499783,6.019532681,5.861466885,1.389140487,0.94925034,0.838471949,0.503763497,0.019542912,0.192246452,2.048070908,1607
Japan,East Asia,2022,6.038899899,6.11853075,5.959269047,1.834504843,1.0893538,0.866069794,0.536541939,0.007166543,0.218195796,1.487030506,1607
Japan,East Asia,2023,6.129000187,6.210740089,6.047260284,1.825132132,1.396324158,0.621748626,0.556048393,0.009303618,0.207125381,1.513335705,1611
Latvia,Central and Eastern Europe,2020,5.949999809,6.018282413,5.881717205,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,1577
Latvia,Central and Eastern Europe,2021,6.032000065,6.102818966,5.961181164,1.285496473,1.047381878,0.586504817,0.404969603,0.082286514,0.088994011,2.536352396,1601
Latvia,Central and Eastern Europe,2022,6.180399895,6.255204201,6.105595589,1.731594205,1.220850945,0.637440205,0.502081156,0.075284421,0.090491436,1.922657967,1553
Latvia,Central and Eastern Europe,2023,6.21269989,6.29471159,6.13068819,1.737142801,1.504973173,0.405162215,0.580150843,0.106608622,0.070794009,1.807876587,1548
Lithuania,Central and Eastern Europe,2020,6.215499878,6.302118301,6.128881454,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,1595
Lithuania,Central and Eastern Europe,2021,6.255400181,6.344270229,6.166530132,1.349763155,1.065026522,0.61188519,0.476324439,0.055755351,0.072516426,2.624112844,1620
Lithuania,Central and Eastern Europe,2022,6.445600033,6.535429478,6.355770588,1.803929567,1.203661323,0.659258485,0.49565962,0.053241979,0.076938212,2.152947426,1624
Lithuania,Central and Eastern Europe,2023,6.763000011,6.849308968,6.676691055,1.807981849,1.510576487,0.432316989,0.487325609,0.058517717,0.088819057,2.377429485,1641
Luxembourg,Western Europe,2020,7.237500191,7.297969818,7.177030563,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,1408
Luxembourg,Western Europe,2021,7.324399948,7.3963027,7.252497196,1.750785589,1.002978325,0.759720683,0.639362514,0.166076779,0.352613539,2.652866364,1467
Luxembourg,Western Europe,2022,7.403999805,7.501348019,7.306651592,2.209395409,1.154524684,0.790364623,0.699727774,0.120202884,0.388119966,2.041680336,1459
Luxembourg,Western Europe,2023,7.227900028,7.363297939,7.092502117,2.199664354,1.356878519,0.548878431,0.709671855,0.149281353,0.418379575,1.845180511,1462
Mexico,Latin America and Caribbean,2020,6.465000153,6.559319973,6.370680332,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,2207
Mexico,Latin America and Caribbean,2021,6.316800117,6.420206547,6.213393688,1.126232147,0.829717219,0.633654714,0.584987998,0.092204243,0.089447029,2.960556269,2216
Mexico,Latin America and Caribbean,2022,6.127600193,6.237970829,6.017229557,1.551526546,0.885673344,0.623061299,0.621371031,0.091876186,0.115227729,2.238910198,2226
Mexico,Latin America and Caribbean,2023,6.329500198,6.441342831,6.217657566,1.550388217,1.168708324,0.388804257,0.63153851,0.086231641,0.115131855,2.388728857,2207
Netherlands,Western Europe,2020,7.448900223,7.503372192,7.394428253,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,1404
Netherlands,Western Europe,2021,7.464000225,7.517559052,7.410441399,1.501071572,1.079151034,0.753425419,0.646585345,0.302396566,0.383531123,2.797817707,1412
Netherlands,Western Europe,2022,7.414899826,7.471265316,7.358534336,1.944577932,1.205848217,0.786737621,0.650681734,0.271076471,0.419083089,2.136936665,1415
Netherlands,Western Europe,2023,7.402999878,7.460416317,7.345583439,1.942273855,1.488227963,0.545473039,0.67232722,0.250547409,0.394061655,2.110043526,1413
New Zealand,North America and ANZ,2020,7.299600124,7.376952648,7.222247601,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,1739
New Zealand,North America and ANZ,2021,7.276599884,7.355363846,7.197835922,1.400068283,1.093900442,0.784921288,0.665402591,0.275553882,0.444941849,2.611801147,1730
New Zealand,North America and ANZ,2022,7.199800014,7.279399395,7.120200634,1.852040529,1.234633565,0.752117038,0.679753423,0.244661137,0.483002812,1.953583241,1748
New Zealand,North America and ANZ,2023,7.122900009,7.197824478,7.04797554,1.841704249,1.543545604,0.512777925,0.671926916,0.230234832,0.471220702,1.851519108,1751
Norway,Western Europe,2020,7.487999916,7.55628109,7.419718742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,1410
Norway,Western Europe,2021,7.392499924,7.461978912,7.323020935,1.543455243,1.108087897,0.781767547,0.703135014,0.248918548,0.426838964,2.580300808,1426
Norway,Western Europe,2022,7.365099907,7.439799309,7.290400505,1.997191191,1.239048719,0.78603071,0.727647841,0.216640249,0.473999143,1.924584389,1425
Norway,Western Europe,2023,7.315499783,7.402019501,7.228980064,1.994439602,1.52100873,0.544110835,0.751826525,0.211889118,0.462955475,1.829270363,1418
Poland,Central and Eastern Europe,2020,6.186299801,6.255880356,6.116719246,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,1769
Poland,Central and Eastern Europe,2021,6.166100025,6.244983673,6.087216377,1.308976054,0.981569052,0.668437958,0.558366895,0.080425575,0.130091965,2.438252926,1828
Poland,Central and Eastern Europe,2022,6.122799873,6.205459118,6.040140629,1.757504106,1.173591495,0.711644232,0.522992134,0.12417715,0.14011772,1.692728043,1815
Poland,Central and Eastern Europe,2023,6.259699821,6.342581272,6.176818371,1.766774416,1.474479437,0.477326423,0.510799348,0.119824477,0.138614073,1.771847725,1803
Portugal,Western Europe,2020,5.910900116,6.015089989,5.806710243,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,1611
Portugal,Western Europe,2021,5.928999901,6.036649227,5.821350574,1.322677374,0.939128816,0.75970608,0.620548785,0.028545836,0.033171218,2.225221872,1649
Portugal,Western Europe,2022,6.016300201,6.121967316,5.910633087,1.759892225,1.078463078,0.77663976,0.65468806,0.016330352,0.039165772,1.691115856,1635
Portugal,Western Europe,2023,5.967999935,6.075546741,5.860453129,1.758063197,1.355543971,0.537309349,0.693030834,0.031227661,0.036539014,1.556326389,1631
Slovak Rep.,Central and Eastern Europe,2020,6.280600071,6.35683918,6.204360962,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,1572
Slovak Rep.,Central and Eastern Europe,2021,6.330900192,6.411270142,6.250530243,1.304421782,1.066245198,0.652658582,0.46803233,0.107230276,0.017916767,2.714428186,1583
Slovak Rep.,Central and Eastern Europe,2022,6.390699863,6.474996567,6.30640316,1.736467957,1.231731653,0.707314312,0.478649288,0.117824987,0.024537772,2.094134808,1622
Slovak Rep.,Central and Eastern Europe,2023,6.468599796,6.577630043,6.35956955,1.731086135,1.543955326,0.471575141,0.494479418,0.127609015,0.022385867,2.077558517,1631
Slovenia,Central and Eastern Europe,2020,6.363399982,6.449328899,6.277471066,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,1532
Slovenia,Central and Eastern Europe,2021,6.460700035,6.545702934,6.375697136,1.360467076,1.093486428,0.721919179,0.689796209,0.122297622,0.084727541,2.387974739,1593
Slovenia,Central and Eastern Europe,2022,6.630099773,6.718324661,6.541874886,1.809620738,1.249057174,0.769412756,0.684525967,0.117814019,0.114752367,1.884877205,1610
Slovenia,Central and Eastern Europe,2023,6.64989996,6.749540806,6.550259113,1.815317154,1.538812757,0.531899571,0.707465529,0.144157872,0.113058046,1.799150944,1616
Korea,East Asia,2020,5.872399807,5.958806515,5.785993099,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,1908
Korea,East Asia,2021,5.845499992,5.928134441,5.762865543,1.402863383,0.758031309,0.800659895,0.353206396,0.133676022,0.135363102,2.26168561,1910
Korea,East Asia,2022,5.935100079,6.020747185,5.849452972,1.851088762,0.885767281,0.841494441,0.413862646,0.111005038,0.176065281,1.655827045,1901
Korea,East Asia,2023,5.951099873,6.040176868,5.862022877,1.852753997,1.187914968,0.602695584,0.446039915,0.111635126,0.163245067,1.586768627,1872
Spain,Western Europe,2020,6.400899887,6.483808517,6.317991257,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,1557.8
Spain,Western Europe,2021,6.490699768,6.573703289,6.407696247,1.374961734,1.056577563,0.825860023,0.461932868,0.135043383,0.123759955,2.51258564,1633
Spain,Western Europe,2022,6.476299763,6.560458183,6.392141342,1.808083534,1.211014986,0.808363318,0.504946589,0.101461537,0.149013892,1.893371582,1652.2
Spain,Western Europe,2023,6.436200142,6.518824577,6.353575706,1.798105359,1.491361737,0.567269206,0.532919645,0.101057768,0.156555146,1.788978577,1632.3
Sweden,Western Europe,2020,7.353499889,7.424519062,7.282480717,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,1426
Sweden,Western Europe,2021,7.362699986,7.43267107,7.292728901,1.478426218,1.061588287,0.762871861,0.684901655,0.244219974,0.447608262,2.683093071,1447
Sweden,Western Europe,2022,7.384300232,7.454091072,7.314509392,1.920258522,1.20404315,0.802608192,0.723704696,0.217929646,0.512238383,2.003476143,1440
Sweden,Western Europe,2023,7.395199776,7.468428135,7.321971416,1.920950174,1.510329008,0.561824739,0.753629208,0.224848092,0.520469129,1.903127193,1437
United Kingdom,Western Europe,2020,7.164500237,7.237337589,7.091662884,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,1364
United Kingdom,Western Europe,2021,7.063600063,7.137607574,6.989592552,1.422578454,1.061990499,0.756574154,0.580345631,0.340242416,0.306035548,2.595834732,1498
United Kingdom,Western Europe,2022,6.942500114,7.017686844,6.867313385,1.867180228,1.143099904,0.74995786,0.596543729,0.289075196,0.329186648,1.96745491,1531
United Kingdom,Western Europe,2023,6.795599937,6.876984119,6.714215755,1.856903434,1.366234779,0.511414289,0.62617296,0.272342682,0.340233833,1.822338104,1524
United States,North America and ANZ,2020,6.939599991,7.032339573,6.846860409,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,1789
United States,North America and ANZ,2021,6.951499939,7.047040462,6.855959415,1.532977462,1.030146956,0.621138632,0.553920388,0.25218758,0.153869659,2.807296753,1813
United States,North America and ANZ,2022,6.976799965,7.065357208,6.888242722,1.982345343,1.181637287,0.628133535,0.574272811,0.220041618,0.176712215,2.213618279,1804
United States,North America and ANZ,2023,6.893700123,6.985669136,6.80173111,1.980279803,1.459589958,0.390173346,0.557369828,0.209672555,0.172258466,2.124348164,1799
